Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02346328


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2346328;1;01/06/1978;1;66,2;69,8;8;6;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;66,2;2,4;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/05/1978;1;28,8;107,2;21;14;1;1;0;;0;3,0;1,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;17,8;28,2;4,0;2,4;10,8;28,8;6,4;0,0;0,0;0,0;0,2;2,2;0,0;0,0;0,0;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/04/1978;1;3,0;3,6;30;3;1;1;0;;0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/03/1978;1;44,8;200,2;29;16;1;1;0;;0;0,0;0,0;42,4;22,6;2,4;5,6;8,6;28,4;7,8;0,0;0,0;0,0;12,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;16,6;4,0;3,6;0,0;44,8;0,4;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/02/1978;1;46,0;204,2;21;15;1;1;0;;0;0,0;0,0;24,6;12,8;19,4;5,8;0,0;0,2;0,0;0,0;0,0;0,0;22,4;0,0;27,6;33,8;4,6;3,8;1,6;1,2;46,0;0,2;0,2;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2346328;1;01/01/1978;1;40,2;200,2;31;21;1;1;0;;0;23,6;6,0;0,4;0,0;0,0;9,2;14,8;10,2;3,0;2,6;0,0;0,0;0,0;0,0;29,8;6,8;0,6;0,0;1,4;6,2;6,4;0,0;7,0;0,0;0,2;5,4;0,2;0,0;11,8;14,4;40,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/12/1977;1;57,0;246,4;21;19;1;1;0;1422,19995117188;1;13,0;4,4;2,6;0,8;9,0;3,0;15,0;2,4;0,8;11,4;0,6;0,2;0,0;0,0;0,0;0,0;0,0;29,0;38,2;21,0;57,0;6,6;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/11/1977;1;36,0;147,4;14;18;1;1;0;1422,19995117188;1;3,6;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;9,2;15,8;0,2;36,0;14,6;0,4;0,0;0,0;0,0;4,8;1,2;0,2;0,0;0,4;7,8;0,2;8,0;23,2;12,0;3,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/10/1977;1;39,6;84,4;1;12;1;1;0;1422,19995117188;1;39,6;2,8;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;3,2;1,4;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;8,4;18,2;4,4;0,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/09/1977;1;24,8;103,8;7;14;1;1;0;1422,19995117188;1;12,0;0,2;0,0;0,0;1,4;16,6;24,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,8;2,4;15,0;0,0;0,0;1,8;3,4;15,0;5,2;2,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/08/1977;1;4,2;7,8;29;5;1;1;0;1422,19995117188;1;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;0,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/07/1977;1;3,6;7,6;24;7;1;1;0;1422,19995117188;1;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;1,0;2,2;0,2;3,6;0,2;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/06/1977;1;17,2;46,0;4;13;1;1;0;1422,19995117188;1;0,0;0,0;1,0;17,2;4,0;0,2;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;1,2;0,2;0,0;0,0;0,0;0,0;0,0;2,0;0,2;17,0;2,0;0,6;0,2;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/05/1977;1;18,8;37,6;16;10;1;1;0;1422,19995117188;1;1,8;6,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2;0,6;0,0;0,0;18,8;7,2;0,4;0,2;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/04/1977;1;44,2;128,4;8;15;1;1;0;1422,19995117188;1;1,8;4,2;0,2;5,0;0,8;0,0;0,0;44,2;42,6;2,4;1,6;0,0;0,0;0,0;0,0;0,0;0,0;2,0;12,0;9,2;2,0;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/03/1977;1;49,2;215,0;4;20;1;1;0;1422,19995117188;1;16,0;0,4;0,0;49,2;45,6;0,0;20,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,2;0,4;4,8;0,2;11,0;12,6;0,2;0,0;3,6;6,6;3,2;0,0;14,0;6,0;6,2;7,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/02/1977;1;32,0;56,2;23;6;1;1;0;1422,19995117188;1;0,2;0,0;0,0;2,4;7,0;0,0;14,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,0;0,2;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2346328;1;01/01/1977;1;72,6;341,6;18;26;1;1;0;1422,19995117188;1;2,4;1,0;0,2;15,0;12,0;18,0;2,0;0,6;0,2;42,0;0,2;2,0;0,0;3,6;5,0;14,2;1,0;72,6;9,2;0,4;0,0;0,0;0,0;0,0;2,6;15,8;8,0;2,0;43,2;1,4;67,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/12/1976;1;45,0;191,2;8;26;1;1;0;;0;3,0;2,8;0,0;5,2;27,0;0,0;0,0;45,0;2,2;1,0;0,8;0,2;2,4;1,8;1,6;2,0;5,0;0,2;0,0;13,8;10,2;24,4;10,6;13,0;8,2;7,2;1,0;2,0;0,2;0,0;0,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/11/1976;1;46,4;145,2;26;14;1;1;0;;0;0,2;0,0;0,0;14,6;12,8;0,0;0,0;0,0;0,0;0,0;0,0;2,0;17,4;0,0;0,0;2,6;6,4;7,8;15,0;17,0;1,8;0,0;0,0;0,0;0,0;46,4;0,2;1,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/10/1976;1;36,8;113,0;9;14;1;1;0;;0;0,4;0,0;0,0;0,0;0,6;0,0;0,0;0,2;36,8;0,6;0,0;0,0;0,0;0,0;0,0;0,0;34,6;5,0;4,4;1,8;0,2;0,0;3,2;7,4;0,0;9,0;0,0;0,0;0,0;0,0;8,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/09/1976;1;52,2;190,0;27;21;1;1;0;;0;0,0;0,0;0,0;2,0;11,2;8,6;22,4;2,2;0,6;0,2;1,6;28,0;21,4;2,0;14,8;2,2;0,0;0,4;0,2;0,0;0,0;12,0;0,2;0,0;0,0;7,0;52,2;0,6;0,0;0,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/08/1976;1;30,4;141,0;11;14;1;1;0;;0;0,2;0,0;0,0;0,0;24,8;0,4;0,0;0,0;4,6;12,2;30,4;23,0;19,2;1,0;0,6;0,0;0,0;5,0;11,8;7,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/07/1976;1;73,2;154,2;2;10;1;1;0;;0;25,6;73,2;15,4;0,2;0,0;0,0;4,4;14,0;20,6;0,4;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/06/1976;1;35,0;53,6;5;12;1;1;0;;0;0,6;0,0;0,0;0,2;35,0;0,2;0,0;0,0;0,4;0,0;0,0;6,2;8,6;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,2;1,0;0,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/05/1976;1;67,8;192,0;28;21;1;1;0;;0;3,0;0,0;0,0;0,0;0,4;0,0;0,2;0,4;10,8;0,2;55,0;1,4;0,0;0,0;0,0;3,8;1,4;3,6;4,0;2,0;12,0;1,0;0,0;0,8;7,0;0,0;16,4;67,8;0,6;0,0;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/04/1976;1;;;;;0;0;0;;0;;0,2;21,8;0,6;0,0;0,0;0,0;0,0;3,4;17,6;33,2;21,8;19,2;33,0;6,4;0,2;0,0;0,0;0,2;0,0;0,0;10,4;3,0;1,8;0,0;0,0;0,0;0,0;0,0;0,0;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/03/1976;1;45,0;143,0;10;16;1;1;0;;0;0,4;0,0;1,8;0,0;0,0;0,0;8,4;1,8;0,0;45,0;14,2;0,2;0,0;0,0;0,0;0,0;24,0;0,0;27,0;3,8;2,0;0,0;3,0;4,0;6,2;1,0;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/02/1976;1;;;;;0;0;0;;0;6,8;5,2;0,6;;20,2;73,0;52,0;0,4;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;8,2;2,4;52,6;10,0;0,8;58,6;16,2;0,0;3,4;85,2;12,2;14,0;2,0;;;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2346328;1;01/01/1976;1;29,2;217,8;28;20;1;1;0;;0;14,6;14,2;4,0;20,8;0,0;0,0;10,4;3,0;0,0;0,0;5,4;0,0;13,2;0,4;7,0;0,0;0,0;0,0;0,0;9,4;22,6;10,0;0,0;0,0;1,6;1,8;23,0;29,2;12,6;0,4;14,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/12/1975;1;34,0;208,6;13;19;1;1;0;1233,40002441406;1;8,4;0,2;0,0;0,0;0,0;0,0;2,0;0,0;30,4;0,0;0,2;26,8;34,0;7,8;0,0;0,0;4,0;2,6;3,0;0,0;8,6;0,0;0,0;23,4;5,0;16,2;1,4;29,0;5,0;0,6;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/11/1975;1;32,4;169,8;29;20;1;1;0;1233,40002441406;1;6,0;0,2;0,0;0,0;0,0;7,0;0,0;0,0;18,0;3,0;0,0;0,0;0,0;0,0;0,0;2,0;0,4;1,2;2,4;9,8;6,0;8,6;10,2;9,0;26,6;3,2;2,2;8,8;32,4;12,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/10/1975;1;32,4;175,2;30;20;1;1;0;1233,40002441406;1;0,2;28,6;11,4;14,0;10,0;0,8;3,4;0,2;1,8;15,0;16,2;0,2;0,0;7,4;0,2;0,0;9,8;17,6;3,2;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,4;2,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/09/1975;1;12,8;50,8;26;13;1;1;0;1233,40002441406;1;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;5,0;1,4;0,0;0,0;0,0;1,2;0,0;11,0;1,6;0,0;12,8;5,2;0,6;9,8;1,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/08/1975;1;0,2;0,2;6;1;1;1;0;1233,40002441406;1;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/07/1975;1;25,6;71,0;16;7;1;1;0;1233,40002441406;1;10,2;0,2;8,4;0,0;10,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,6;16,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2346328;1;01/06/1975;1;3,4;5,6;4;7;1;1;0;1233,40002441406;1;0,0;0,2;0,4;3,4;0,2;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;1,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2346328;1;01/05/1975;1;12,0;41,2;5;15;1;1;0;1233,40002441406;1;0,2;0,0;9,4;0,4;12,0;0,6;2,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,2;7,6;2,2;0,0;2,0;0,0;0,0;0,0;0,0;3,6;0,2;0,4;0,2;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
